var	tipo	nulo	llave	"valor"
ESCUR1	D	NA	6	"Enseñanzas Profesionales de Música y Danza"
ESCUR1	D	NA	7	"Grado Superior de FP, de Artes Plásticas y Diseño y de EE. Deportivas o equivalente"
ESCUR1	D	NA	8	"Diplomatura universitaria, Arquitectura Técnica, Ingeniería Técnica o equivalente"
ESCUR1	D	NA	9	"Estudios de Grado Universitario y de Enseñanzas Artísticas y equivalentes"
ESCUR1	D	NA	10	"Licenciatura, Arquitectura, Ingeniería o equivalente"
ESCUR1	D	NA	11	"Máster oficial universitario, Especialidades Médicas o análogos"
ESCUR1	D	NA	12	"Doctorado"
ESCUR1	D	NA	13	"Otros cursos de educación reglada (Enseñanzas iniciales para adultos, ...)"
ESCUR1	D	NA	14	"Cursos de formación de los Servicios Públicos de Empleo"
ESCUR1	D	NA	15	"Otros cursos de formación no reglados"
ESCUR2	D	NA	1	"ESO, Educación secundaria para adultos"
ESCUR2	D	NA	2	"Programas de Cualificación Profesional Inicial"
ESCUR2	D	NA	3	"Bachillerato"
ESCUR2	D	NA	4	"Grado Medio de FP, de Artes Plásticas y Diseño y de EE. Deportivas o equivalente"
ESCUR2	D	NA	5	"Enseñanzas de Escuelas oficiales de idiomas"
ESCUR2	D	NA	6	"Enseñanzas Profesionales de Música y Danza"
ESCUR2	D	NA	7	"Grado Superior de FP, de Artes Plásticas y Diseño y de EE. Deportivas o equivalente"
ESCUR2	D	NA	8	"Diplomatura universitaria, Arquitectura Técnica, Ingeniería Técnica o equivalente"
ESCUR2	D	NA	9	"Estudios de Grado Universitario y de Enseñanzas Artísticas y equivalentes"
ESCUR2	D	NA	10	"Licenciatura, Arquitectura, Ingeniería o equivalente"
ESCUR2	D	NA	11	"Máster oficial universitario, Especialidades Médicas o análogos"
ESCUR2	D	NA	12	"Doctorado"
ESCUR2	D	NA	13	"Otros cursos de educación reglada (Enseñanzas iniciales para adultos, ...)"
ESCUR2	D	NA	14	"Cursos de formación de los Servicios Públicos de Empleo"
ESCUR2	D	NA	15	"Otros cursos de formación no reglados"
ESCUR3	D	NA	1	"ESO, Educación secundaria para adultos"
ESCUR3	D	NA	2	"Programas de Cualificación Profesional Inicial"
ESCUR3	D	NA	3	"Bachillerato"
ESCUR3	D	NA	4	"Grado Medio de FP, de Artes Plásticas y Diseño y de EE. Deportivas o equivalente"
ESCUR3	D	NA	5	"Enseñanzas de Escuelas oficiales de idiomas"
ESCUR3	D	NA	6	"Enseñanzas Profesionales de Música y Danza"
ESCUR3	D	NA	7	"Grado Superior de FP, de Artes Plásticas y Diseño y de EE. Deportivas o equivalente"
ESCUR3	D	NA	8	"Diplomatura universitaria, Arquitectura Técnica, Ingeniería Técnica o equivalente"
ESCUR3	D	NA	9	"Estudios de Grado Universitario y de Enseñanzas Artísticas y equivalentes"
ESCUR3	D	NA	10	"Licenciatura, Arquitectura, Ingeniería o equivalente"
ESCUR3	D	NA	11	"Máster oficial universitario, Especialidades Médicas o análogos"
ESCUR3	D	NA	12	"Doctorado"
ESCUR3	D	NA	13	"Otros cursos de educación reglada (Enseñanzas iniciales para adultos, ...)"
ESCUR3	D	NA	14	"Cursos de formación de los Servicios Públicos de Empleo"
ESCUR3	D	NA	15	"Otros cursos de formación no reglados"
LTRABA	D	NA	1	"En el propio domicilio"
LTRABA	D	NA	2	"En varios municipios"
LTRABA	D	NA	3	"En este municipio"
LTRABA	D	NA	4	"En otro municipio"
LTRABA	D	NA	5	"En otro país"
PAISTRABA	N	NA	NA	""
PROTRABA	N	NA	NA	""
MUNTRABA	N	NA	NA	""
NVIAJE	D	NA	1	"Ninguno"
NVIAJE	D	NA	2	"Uno diario"
NVIAJE	D	NA	3	"Dos o más"
MDESP1	D	NA	1	"En coche o furgoneta como conductor"
MDESP1	D	NA	2	"En coche o furgoneta como pasajero"
MDESP1	D	NA	3	"En autobús, autocar, minibús"
MDESP1	D	NA	4	"En metro"
MDESP1	D	NA	5	"En moto"
MDESP1	D	NA	6	"Andando"
MDESP1	D	NA	7	"En tren "
MDESP1	D	NA	8	"En bicicleta"
MDESP1	D	NA	9	"Otros medios"
MDESP2	D	NA	1	"En coche o furgoneta como conductor"
MDESP2	D	NA	2	"En coche o furgoneta como pasajero"
MDESP2	D	NA	3	"En autobús, autocar, minibús"
MDESP2	D	NA	4	"En metro"
MDESP2	D	NA	5	"En moto"
MDESP2	D	NA	6	"Andando"
MDESP2	D	NA	7	"En tren "
MDESP2	D	NA	8	"En bicicleta"
MDESP2	D	NA	9	"Otros medios"
TENEN	D	NA	1	"Propia, por compra, totalmente pagada"
TENEN	D	NA	2	"Propia, por compra, con pagos pendientes (hipotecas)"
TENEN	D	NA	3	"Propia por herencia o donación"
TENEN	D	NA	4	"Alquilada"
TENEN	D	NA	5	"Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)"
TENEN	D	NA	6	"Otra forma"
CALE	D	NA	1	"Colectiva o central"
CALE	D	NA	2	"Individual"
CALE	D	NA	3	"No tiene calefacción pero sí algún aparato que permite calentar"
CALE	D	NA	4	"No tiene calefacción"
ASEO	D	NA	1	"Sí"
ASEO	D	NA	2	"No"
BADUCH	D	NA	1	"Sí"
BADUCH	D	NA	2	"No"
INTERNET	D	NA	1	"Sí"
INTERNET	D	NA	2	"No"
AGUACOR	D	NA	1	"Agua corriente por abastecimiento público"
AGUACOR	D	NA	2	"Agua corriente por abastecimiento privado o particular del edificio"
AGUACOR	D	NA	3	"No tiene agua corriente"
SUT	N	NA	NA	""
NHAB	N	NA	NA	""
PLANTAS	N	NA	NA	""
PLANTAB	N	NA	NA	""
TIPOEDIF	D	NA	1	"Destinado principal o exclusivamente a viviendas"
TIPOEDIF	D	NA	2	"Destinado a otros fines"
ANOCONS	D	NA	1	"Antes 1900"
ANOCONS	D	NA	2	"1900 a 1920"
ANOCONS	D	NA	3	"1921 a 1940"
ANOCONS	D	NA	4	"1941 a 1950"
ANOCONS	D	NA	5	"1951 a 1960"
ANOCONS	D	NA	6	"1961 a 1970"
ANOCONS	D	NA	7	"1971 a 1980"
ANOCONS	D	NA	8	"1981 a 1990"
ANOCONS	D	NA	9	"1991 a 2001"
ANOCONS	D	NA	10	"2002"
ANOCONS	D	NA	11	"2003"
ANOCONS	D	NA	12	"2004"
ANOCONS	D	NA	13	"2005"
ANOCONS	D	NA	14	"2006"
ANOCONS	D	NA	15	"2007"
ANOCONS	D	NA	16	"2008"
ANOCONS	D	NA	17	"2009"
ANOCONS	D	NA	18	"2010"
ANOCONS	D	NA	19	"2011"
ANOCONS	D	NA	20	""
ESTADO	D	NA	1	"Ruinoso"
ESTADO	D	NA	2	"Malo"
ESTADO	D	NA	3	"Deficiente"
ESTADO	D	NA	4	"Bueno"
ASCENSOR	D	NA	1	"Sí"
ASCENSOR	D	NA	2	"No"
ACCESIB	D	NA	1	"Sí"
ACCESIB	D	NA	2	"No"
GARAJE	D	NA	1	"Sí"
GARAJE	D	NA	2	"No"
PLAZAS	D	NA	1	"1"
PLAZAS	D	NA	2	"2"
PLAZAS	D	NA	3	"3 a 5"
PLAZAS	D	NA	4	"6 a 10"
PLAZAS	D	NA	5	"11 a 20"
PLAZAS	D	NA	6	"21 a 50"
PLAZAS	D	NA	7	"Más de 50"
GAS	D	NA	1	"Sí"
GAS	D	NA	2	"No"
TELEF	D	NA	1	"Sí"
TELEF	D	NA	2	"No"
ACAL	D	NA	1	"Sí"
ACAL	D	NA	2	"No"
RESID	D	NA	1	"Alcantarillado"
RESID	D	NA	2	"Otro tipo"
RESID	D	NA	3	"No tiene sistema evacuación aguas residuales"
FAMILIA	N	NA	NA	""
PAD_NORDEN	N	NA	NA	""
MAD_NORDEN	N	NA	NA	""
CON_NORDEN	N	NA	NA	""
OPA_NORDEN	N	NA	NA	""
TIPOPER	D	NA	C	"Vive con su cónyuge"
TIPOPER	D	NA	P	"Padre que no vive con su cónyuge"
TIPOPER	D	NA	M	"Madre que no vive con su cónyuge"
TIPOPER	D	NA	H	"Hijo"
NUCLEO	N	NA	NA	""
NMIEM	N	NA	NA	""
NFAM	N	NA	NA	""
NNUC	N	NA	NA	""
NGENER	N	NA	NA	""
ESTHOG	D	NA	1	"Hogar con una mujer sola menor de 65 años"
ESTHOG	D	NA	2	"Hogar con un hombre solo menor de 65 años"
ESTHOG	D	NA	3	"Hogar con una mujer sola de 65 años o más"
ESTHOG	D	NA	4	"Hogar con un hombre solo de 65 años o más"
ESTHOG	D	NA	5	"Hogar con padre o madre que convive con algún hijo menor de 25 años"
ESTHOG	D	NA	6	"Hogar con padre o madre que convive con todos sus hijos de 25 años o más"
ESTHOG	D	NA	7	"Hogar formado por pareja sin hijos"
ESTHOG	D	NA	8	"Hogar formado por pareja con hijos en donde algún hijo es menor de 25 años"
ESTHOG	D	NA	9	"Hogar formado por pareja con hijos en donde todos los hijos de 25 años o más"
ESTHOG	D	NA	10	"Hogar formado por pareja o padre/madre que convive con algún hijo menor de 25 años y otra(s) persona(a)"
ESTHOG	D	NA	11	"Otro tipo de hogar"
TIPOHOG	D	NA	1	"Hogar unipersonal"
TIPOHOG	D	NA	2	"Hogar multipersonal pero que no forma familia"
TIPOHOG	D	NA	3	"Hogar de una familia sin otras personas adicionales y ningún núcleo"
TIPOHOG	D	NA	4	"Hogar de una familia sin otras personas adicionales y sólo un núcleo"
TIPOHOG	D	NA	5	"Hogar de una familia sin otras personas adicionales y un núcleo y otras personas"
TIPOHOG	D	NA	6	"Hogar de una familia sin otras personas adicionales y dos núcleos o más"
TIPOHOG	D	NA	7	"Hogar de una familia, con otras personas no emparentadas"
TIPOHOG	D	NA	8	"Hogar de dos o más familias"
NOCU	N	NA	NA	""
NPARAIN	N	NA	NA	""
NPFAM	N	NA	NA	""
NPNUC	N	NA	NA	""
HM5	N	NA	NA	""
H0515	N	NA	NA	""
H1624	N	NA	NA	""
H2534	N	NA	NA	""
H3564	N	NA	NA	""
H6584	N	NA	NA	""
H85M	N	NA	NA	""
HESPHOG	N	NA	NA	""
MESPHOG	N	NA	NA	""
HEXTHOG	N	NA	NA	""
MEXTHOG	N	NA	NA	""
COMBINAC	D	NA	1	"Todos españoles"
COMBINAC	D	NA	2	"Algún extranjero"
EDADPAD	D	NA	2	"0 a 4"
EDADPAD	D	NA	3	"5 a 9"
EDADPAD	D	NA	4	"10 a 14"
EDADPAD	D	NA	5	"15 a 19"
EDADPAD	D	NA	6	"20 a 24"
EDADPAD	D	NA	7	"25 a 29"
EDADPAD	D	NA	8	"30 a 34"
EDADPAD	D	NA	9	"35 a 39"
EDADPAD	D	NA	10	"40 a 44"
EDADPAD	D	NA	11	"45 a 49"
EDADPAD	D	NA	12	"50 a 54"
EDADPAD	D	NA	13	"55 a 59"
EDADPAD	D	NA	14	"60 a 64"
EDADPAD	D	NA	15	"65 a 69"
EDADPAD	D	NA	16	"70 a 74"
EDADPAD	D	NA	17	"75 a 79"
EDADPAD	D	NA	18	"80 a 84"
EDADPAD	D	NA	19	"85 a 89"
EDADPAD	D	NA	20	"90 a 94"
EDADPAD	D	NA	21	"95 a 99"
EDADPAD	D	NA	22	"Más de 100"
PAISNACPAD	N	NA	NA	""
NACIPAD	D	NA	2	"Española"
NACIPAD	D	NA	3	"Extranjera"
ECIVPAD	D	NA	1	"Soltero"
ECIVPAD	D	NA	2	"Casado"
ECIVPAD	D	NA	3	"Viudo"
ECIVPAD	D	NA	4	"Separado"
ECIVPAD	D	NA	5	"Divorciado"
ESTUPAD	D	NA	2	"Analfabetos"
ESTUPAD	D	NA	3	"Sin estudios"
ESTUPAD	D	NA	4	"Primer grado"
ESTUPAD	D	NA	5	"Segundo grado"
ESTUPAD	D	NA	6	"Tercer grado"
ESTUPAD	D	NA	7	"No es aplicable"
SITUPAD	D	NA	2	"Ocupado/a a tiempo completo   "
SITUPAD	D	NA	3	"Ocupado/a a tiempo parcial  "
SITUPAD	D	NA	4	"Parado/a que ha trabajado antes  "
SITUPAD	D	NA	5	"Parado/a buscando primer empleo "
SITUPAD	D	NA	6	"Persona con invalidez permanente "
SITUPAD	D	NA	7	"Jubilado/a, prejubilado/a, pensionista o rentista "
SITUPAD	D	NA	8	"Estudiantes"
SITUPAD	D	NA	9	"Otra situación"
SITPPAD	D	NA	2	"Empresario que emplea personal"
SITPPAD	D	NA	3	"Empresario que no emplea personal"
SITPPAD	D	NA	4	"Trabajador fijo o indefinido"
SITPPAD	D	NA	5	"Trabajador eventual o temporal"
SITPPAD	D	NA	6	"Ayuda familiar"
SITPPAD	D	NA	7	"Miembro de cooperativas"
SITPPAD	D	NA	8	"No es aplicable"
EDADMAD	D	NA	2	"0 a 4"
EDADMAD	D	NA	3	"5 a 9"
EDADMAD	D	NA	4	"10 a 14"
EDADMAD	D	NA	5	"15 a 19"
EDADMAD	D	NA	6	"20 a 24"
EDADMAD	D	NA	7	"25 a 29"
EDADMAD	D	NA	8	"30 a 34"
EDADMAD	D	NA	9	"35 a 39"
EDADMAD	D	NA	10	"40 a 44"
EDADMAD	D	NA	11	"45 a 49"
EDADMAD	D	NA	12	"50 a 54"
EDADMAD	D	NA	13	"55 a 59"
EDADMAD	D	NA	14	"60 a 64"
EDADMAD	D	NA	15	"65 a 69"
EDADMAD	D	NA	16	"70 a 74"
EDADMAD	D	NA	17	"75 a 79"
EDADMAD	D	NA	18	"80 a 84"
EDADMAD	D	NA	19	"85 a 89"
EDADMAD	D	NA	20	"90 a 94"
EDADMAD	D	NA	21	"95 a 99"
EDADMAD	D	NA	22	"Más de 100"
PAISNACMAD	N	NA	NA	""
NACIMAD	D	NA	2	"Española"
NACIMAD	D	NA	3	"Extranjera"
ECIVMAD	D	NA	1	"Soltero"
ECIVMAD	D	NA	2	"Casado"
ECIVMAD	D	NA	3	"Viudo"
ECIVMAD	D	NA	4	"Separado"
ECIVMAD	D	NA	5	"Divorciado"
ESTUMAD	D	NA	2	"Analfabetos"
ESTUMAD	D	NA	3	"Sin estudios"
ESTUMAD	D	NA	4	"Primer grado"
ESTUMAD	D	NA	5	"Segundo grado"
ESTUMAD	D	NA	6	"Tercer grado"
ESTUMAD	D	NA	7	"No es aplicable"
SITUMAD	D	NA	2	"Ocupado/a a tiempo completo   "
SITUMAD	D	NA	3	"Ocupado/a a tiempo parcial  "
SITUMAD	D	NA	4	"Parado/a que ha trabajado antes  "
SITUMAD	D	NA	5	"Parado/a buscando primer empleo "
SITUMAD	D	NA	6	"Persona con invalidez permanente "
SITUMAD	D	NA	7	"Jubilado/a, prejubilado/a, pensionista o rentista "
SITUMAD	D	NA	8	"Estudiantes"
SITUMAD	D	NA	9	"Otra situación"
SITPMAD	D	NA	2	"Empresario que emplea personal"
SITPMAD	D	NA	3	"Empresario que no emplea personal"
SITPMAD	D	NA	4	"Trabajador fijo o indefinido"
SITPMAD	D	NA	5	"Trabajador eventual o temporal"
SITPMAD	D	NA	6	"Ayuda familiar"
SITPMAD	D	NA	7	"Miembro de cooperativas"
SITPMAD	D	NA	8	"No es aplicable"
EDADCON	D	NA	2	"0 a 4"
EDADCON	D	NA	3	"5 a 9"
EDADCON	D	NA	4	"10 a 14"
EDADCON	D	NA	5	"15 a 19"
EDADCON	D	NA	6	"20 a 24"
EDADCON	D	NA	7	"25 a 29"
EDADCON	D	NA	8	"30 a 34"
EDADCON	D	NA	9	"35 a 39"
EDADCON	D	NA	10	"40 a 44"
EDADCON	D	NA	11	"45 a 49"
EDADCON	D	NA	12	"50 a 54"
EDADCON	D	NA	13	"55 a 59"
EDADCON	D	NA	14	"60 a 64"
EDADCON	D	NA	15	"65 a 69"
EDADCON	D	NA	16	"70 a 74"
EDADCON	D	NA	17	"75 a 79"
EDADCON	D	NA	18	"80 a 84"
EDADCON	D	NA	19	"85 a 89"
EDADCON	D	NA	20	"90 a 94"
EDADCON	D	NA	21	"95 a 99"
EDADCON	D	NA	22	"Más de 100"
NACCON	D	NA	2	"España"
NACCON	D	NA	3	"Estado miembro de la UE"
NACCON	D	NA	4	"Estado fuera de la UE pero en Europa"
NACCON	D	NA	5	"Estado fuera de la UE pero en África"
NACCON	D	NA	6	"Estado fuera de la UE pero en Caribe, América del Sur o Central"
NACCON	D	NA	7	"Estado fuera de la UE pero en América del Norte"
NACCON	D	NA	8	"Estado fuera de la UE pero en Asia"
NACCON	D	NA	9	"Estado fuera de la UE pero en Oceanía"
NACICON	D	NA	2	"Española"
NACICON	D	NA	3	"Extranjera"
ECIVCON	D	NA	1	"Soltero"
ECIVCON	D	NA	2	"Casado"
ECIVCON	D	NA	3	"Viudo"
ECIVCON	D	NA	4	"Separado"
ECIVCON	D	NA	5	"Divorciado"
ESTUCON	D	NA	2	"Analfabetos"
ESTUCON	D	NA	3	"Sin estudios"
ESTUCON	D	NA	4	"Primer grado"
ESTUCON	D	NA	5	"Segundo grado"
ESTUCON	D	NA	6	"Tercer grado"
ESTUCON	D	NA	7	"No es aplicable"
SITUCON	D	NA	2	"Ocupado/a a tiempo completo   "
SITUCON	D	NA	3	"Ocupado/a a tiempo parcial  "
SITUCON	D	NA	4	"Parado/a que ha trabajado antes  "
SITUCON	D	NA	5	"Parado/a buscando primer empleo "
SITUCON	D	NA	6	"Persona con invalidez permanente "
SITUCON	D	NA	7	"Jubilado/a, prejubilado/a, pensionista o rentista "
SITUCON	D	NA	8	"Estudiantes"
SITUCON	D	NA	9	"Otra situación"
SITPCON	D	NA	2	"Empresario que emplea personal"
SITPCON	D	NA	3	"Empresario que no emplea personal"
SITPCON	D	NA	4	"Trabajador fijo o indefinido"
SITPCON	D	NA	5	"Trabajador eventual o temporal"
SITPCON	D	NA	6	"Ayuda familiar"
SITPCON	D	NA	7	"Miembro de cooperativas"
SITPCON	D	NA	8	"No es aplicable"
TIPONUC	D	NA	1	"Pareja sin hijos"
TIPONUC	D	NA	2	"Pareja con hijos"
TIPONUC	D	NA	3	"Padre con hijos"
TIPONUC	D	NA	4	"Madre sin hijos"
TAMNUC	D	NA	1	"2"
TAMNUC	D	NA	2	"3"
TAMNUC	D	NA	3	"4"
TAMNUC	D	NA	4	"5"
TAMNUC	D	NA	5	"6 o más"
NHIJO	N	NA	NA	""
NHIJOC	N	NA	NA	""
FAMNUM	D	NA	1	"No"
FAMNUM	D	NA	2	"Sí"
TIPOPARECIV	D	NA	1	"Pareja de derecho"
TIPOPARECIV	D	NA	2	"Pareja de hecho (ambos solteros)"
TIPOPARECIV	D	NA	3	"Pareja de hecho (otro tipo)"
TIPOPARECIV	D	NA	4	"Núcleo que no es pareja"
TIPOPARSEX	D	NA	1	"Pareja de distinto sexo"
TIPOPARSEX	D	NA	2	"Pareja del mismo sexo, femenino"
TIPOPARSEX	D	NA	3	"Pareja del mismo sexo, masculino"
TIPOPARSEX	D	NA	4	"Núcleo que no es pareja"
DIFEDAD	D	NA	1	"10 años o más la mujer que el hombre"
DIFEDAD	D	NA	2	"Entre 5 y 9 años más la mujer que el hombre"
DIFEDAD	D	NA	3	"Entre 1 y 4 años más la mujer que el hombre"
DIFEDAD	D	NA	4	"Igual edad"
DIFEDAD	D	NA	5	"Entre 1 y 4 años más el hombre que la mujer"
DIFEDAD	D	NA	6	"Entre 5 y 9 años más el hombre que la mujer "
DIFEDAD	D	NA	7	"10 años o más el hombre que la mujer"
DIFEDAD	D	NA	8	"Núcleo que no es pareja"
